iteration,seed,final_objective_value,n_iter_opt,x0,x1
0,0,1.0862849414775495e-08,501,4.062194962126402e-06,24.617089668737737
1,1,1.0420635027491555e-08,501,2.0815061748432667e-06,48.042132783571105
2,2,9.659816267809598e-09,501,8.718033853032577e-06,11.470476147667224
3,3,1.0965111583777456e-08,501,4.715000956180968e-06,21.208905699606877
4,4,1.0352570055522431e-08,501,57.2224252327566,1.7475667118589402e-06
5,5,1.0764956270015466e-08,501,3.7542664667152337e-06,26.63636455361829
6,6,1.0917505054147326e-08,501,22.287188021928003,4.486883693177985e-06
7,7,1.1081383608246491e-08,501,18.961196948667663,5.273929252419343e-06
8,8,1.0290576481293729e-08,501,69.3251272380796,1.4424784431767857e-06
9,9,1.0371044454992618e-08,501,1.838284462464446e-06,54.398550020194364
10,10,1.0974300897267832e-08,501,4.758743387692285e-06,21.01395630510984
11,11,1.035659539503342e-08,501,1.7673574663278586e-06,56.58165056493866
12,12,1.0613403297416526e-08,501,3.021369943883206e-06,33.09756762344244
13,13,1.0636563455196604e-08,501,3.1335976087966092e-06,31.91220713620278
14,14,1.1218776309745342e-09,501,1.0558762957829162e-05,9.470811655399828
15,15,1.0649799051988288e-08,501,31.270827607726673,3.197868684421919e-06
16,16,1.0389437381962174e-08,501,51.85131569744598,1.928591379180913e-06
17,17,1.0388585076948397e-08,501,51.96397055954417,1.9244103084704098e-06
18,18,1.0632052127348014e-08,501,3.1118436310348207e-06,32.13529172406101
19,19,9.925396803053926e-09,501,8.606599192248834e-06,11.618972076438244
20,20,6.338357607690065e-09,501,9.870345880924871,1.0131904903990409e-05
21,21,3.396169076556934e-10,501,1.0765923933891794e-05,9.288545380370246
22,22,1.0263363854483016e-08,501,76.43735210047271,1.3082608896070392e-06
23,23,2.1962717933762157e-09,501,9.664424267726552,1.0347242076629542e-05
24,24,9.482062491062478e-11,237,9.132459095235546,1.0949851277725987e-05
25,25,1.0938798080534215e-08,501,21.794546778051178,4.588305542814028e-06
26,26,1.0305752873357692e-08,501,66.26490885935567,1.509092413868141e-06
27,27,3.623718582581336e-10,501,8.955264498774755,1.1166688681840308e-05
28,28,1.058457526939445e-10,501,1.1088870511886387e-05,9.01806814858471
29,29,1.0217318059187291e-08,501,1.0807433344612024e-06,92.52890388764841
30,30,1.0232391727137785e-08,501,1.1552858810251394e-06,86.5586619823876
31,31,5.119014183364214e-09,501,10.170449943761039,9.832407220625029e-06
32,32,1.0531353463555364e-08,501,46.08692968068044,2.169833473233682e-06
33,33,5.786412355554509e-11,185,1.0956624197082246e-05,9.126965065916773
34,34,1.1000825328240597e-08,501,20.466527686164348,4.886027359906698e-06
35,35,2.3628845426756746e-10,501,8.975816231401078,1.114103039887714e-05
36,36,1.0555242517433664e-08,501,2.7387119813051803e-06,36.513513949582254
37,37,1.066047722114582e-08,501,3.249587770128815e-06,30.7731330860068
38,38,8.033690111443e-09,501,10.82857481653969,9.234767520648308e-06
39,39,1.1027561693801337e-08,501,5.014392479099145e-06,19.942595054335637
40,40,1.031954248393287e-08,501,1.5851501844151404e-06,63.08550500401944
41,41,1.0279654927762675e-08,501,72.01321214175742,1.388634068715489e-06
42,42,8.699284084437792e-11,167,1.0900510386961436e-05,9.173936833632776
43,43,6.3855953787155494e-09,501,10.424956240955225,9.59236652754598e-06
44,44,6.998263742459033e-09,501,10.564071957395521,9.46606284241421e-06
45,45,8.26994750102489e-09,501,9.163627555656097e-06,10.912712873370594
46,46,3.0968158614594103e-09,501,8.70176420123695,1.1491811264204464e-05
47,47,1.0389282248380994e-08,501,1.9278302614515024e-06,51.87178629039838
48,48,1.0208001864422978e-08,501,1.0346278779445686e-06,96.65310052357191
49,49,1.0319497413643152e-08,501,63.645371403536906,1.571208789329503e-06
50,50,2.7289134781406996e-10,501,1.1153191022514479e-05,8.966043176565602
51,51,1.0320570997518398e-08,501,62.88497256100404,1.5902049733718828e-06
52,52,9.009755994153807e-11,253,1.0984349233058766e-05,9.103775657440025
53,53,1.035931230520994e-08,501,1.775898946096705e-06,56.30956601738406
54,54,1.0552206085617081e-08,501,36.733040771716375,2.7223462864039968e-06
55,55,1.0228430475901503e-08,501,1.135703543735953e-06,88.05114652073796
56,56,1.040764731005612e-08,501,2.0178368731925448e-06,49.558024559837236
57,57,1.0272620243556037e-08,501,1.3539295275827264e-06,73.85909067100604
58,58,1.0201445901358985e-08,501,99.7797592619951,1.0022072571704985e-06
59,59,1.0581179051815248e-08,501,2.864862297724138e-06,34.905691626748116
60,60,1.1078186544379045e-08,501,5.2584010200110786e-06,19.01718531323848
61,61,1.0809351005369989e-08,501,3.968046953494323e-06,25.201315065761506
62,62,1.1091150665849627e-08,501,5.321444418212447e-06,18.791890102682533
