iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
0,0,PSO,8.317894743129716e-11,127,1000000.0000081293,1.9999958655281734e-06
1,1,PSO,7.082798359335951e-11,114,1000000.0000056217,1.9999937370406567e-06
2,2,PSO,2.1759141175910565e-11,190,1000000.0000046166,2.000000668167032e-06
3,3,PSO,4.348503182080171e-11,156,999999.9999971379,2.0000059408460015e-06
4,4,PSO,8.240586904695218e-11,202,999999.9999910551,1.999998452486418e-06
5,5,PSO,5.815554954237583e-11,116,1000000.0000052159,1.999994436696659e-06
6,6,PSO,3.086670390401187e-11,171,999999.999999866,2.000005554165327e-06
7,7,PSO,5.26598236560874e-11,172,1000000.0000001435,1.9999927447106147e-06
8,8,PSO,1000000000004.02,501,-1.0040087785819677e-08,-0.002851803358353119
9,9,PSO,8.338533914415893e-11,497,1000000.0000069161,2.0000059625907133e-06
10,10,PSO,3.080238670439478e-11,195,999999.9999963061,1.999995857810074e-06
11,11,PSO,1.4720688991509484e-11,130,1000000.0000023477,1.999996965399898e-06
12,12,PSO,8.827337858607633e-11,109,1000000.0000079584,2.000004993730074e-06
13,13,PSO,4.040100000004039,501,999999.9999999974,-1.0000000000000015e-08
14,14,PSO,1.7120656211606215e-11,276,1000000.0000023037,2.0000034370617733e-06
15,15,PSO,3.3501895307774386e-11,248,999999.9999997981,1.9999942154393863e-06
16,16,PSO,4.040100000004039,501,999999.9999999935,-1.0000000000000004e-08
17,17,PSO,4.040100000004039,501,999999.9999999834,-1.0000000000000012e-08
18,18,PSO,1000000000004.02,501,-1.0063760557169134e-08,5.063151936457855e-05
19,19,PSO,4.5941841226675025e-11,122,1000000.0000046145,2.0000049647166434e-06
20,20,PSO,7.904645640666272e-11,188,999999.9999936048,2.0000061764514142e-06
21,21,PSO,7.1652113608997205e-12,198,1000000.0000012866,1.999997652697949e-06
22,22,PSO,5.040171591195077e-07,501,999999.9995893284,2.0005791087679527e-06
23,23,PSO,4.139309582316425e-11,128,999999.9999963518,2.0000052993999196e-06
24,24,PSO,4.040100000004039,501,999999.9999999548,-1.000000000000001e-08
25,25,PSO,7.259927875333385e-11,113,999999.9999927395,2.0000044592510683e-06
26,26,PSO,6.755989524578105e-11,126,999999.999993923,1.999994465573406e-06
27,27,PSO,4.706322525040886e-11,199,1000000.0000022163,2.0000064923890805e-06
28,28,PSO,9.776280426701567e-13,116,999999.9999990702,1.99999966372379e-06
29,29,PSO,4.040100000004039,501,999999.9999999948,-1e-08
30,30,PSO,7.981064173633206e-11,131,1000000.0000085908,1.9999975485307258e-06
31,31,PSO,9.802498261563281e-11,111,1000000.0000009926,1.999990149119214e-06
32,32,PSO,4.040100000004039,501,999999.9999999761,-1.0000000000000233e-08
33,33,PSO,7.325245168932209e-11,129,999999.999991463,1.9999993895888926e-06
34,34,PSO,1.802307955235175e-11,217,1000000.000003824,2.0000018439075652e-06
35,35,PSO,4.040100000004039,501,999999.9999999768,-1e-08
36,36,PSO,5.1787811339859517e-11,123,999999.9999932173,2.0000024047405924e-06
37,37,PSO,4.666867127091413e-13,370,999999.9999994021,2.0000003304424604e-06
38,38,PSO,9.106866787257524e-11,121,999999.9999911584,2.0000035908803874e-06
39,39,PSO,5.83557132014346e-11,265,999999.9999934552,1.9999960602260824e-06
40,40,PSO,1.1918273673766238e-11,128,999999.999999665,2.0000034359895617e-06
41,41,PSO,1000000000004.02,501,-1.0000000003630943e-08,0.0075617490538837685
42,42,PSO,6.50487928878338e-11,150,1000000.0000013049,1.999992040975428e-06
43,43,PSO,7.717686291100628e-12,121,1000000.0000022548,2.000001622753983e-06
44,44,PSO,8.469741079936897e-11,137,1000000.0000052957,2.000007526783075e-06
45,45,PSO,4.040100000004039,501,999999.9999999839,-1e-08
46,46,PSO,6.014786029479561e-11,131,999999.9999968427,1.9999929162701985e-06
47,47,PSO,2.762714407264613e-11,114,1000000.0000025781,1.9999954195613918e-06
48,48,PSO,3.200714836502054e-11,130,1000000.0000056429,1.9999995937690682e-06
49,49,PSO,4.040100000004039,501,999999.9999999781,-1.0000000000000063e-08
50,50,PSO,4.040100000004039,501,999999.9999999771,-1.000000000000015e-08
51,51,PSO,4.040100000004039,501,999999.9999999827,-1.0000000000000013e-08
52,52,PSO,1000000000004.02,501,-1.0052693465230895e-08,0.0001997386734231445
53,53,PSO,4.7570764400139424e-11,119,999999.999993161,1.999999106622928e-06
54,54,PSO,8.742643559990087e-11,125,999999.9999932841,2.0000065056528626e-06
55,55,PSO,4.040100000004039,501,999999.9999999907,-1.0000000000000002e-08
56,56,PSO,4.040100000004039,501,999999.9999999864,-1.0000000000000004e-08
57,57,PSO,1.0365082664974866e-11,139,1000000.0000019562,2.0000025569856697e-06
58,58,PSO,3.0755699080615443e-11,109,1000000.0000011895,1.9999945832907545e-06
59,59,PSO,1.140931438720348e-12,116,999999.9999991576,2.0000006567552435e-06
60,60,PSO,4.040100000004039,501,999999.9999999511,-1.0000000000000027e-08
61,61,PSO,1000000000004.02,501,-1.0030018168395436e-08,0.004320849854464834
62,62,PSO,9.633684457674687e-11,209,1000000.0000021186,2.0000095837423567e-06
63,63,PSO,2.177076902531514e-11,322,999999.9999998445,1.99999533667755e-06
64,64,PSO,4.480687353924917e-11,220,999999.9999941649,1.9999967199728703e-06
65,65,PSO,8.234252777951473e-11,127,999999.9999927373,2.0000054402273853e-06
66,66,PSO,8.757584985089266e-11,139,999999.9999908283,2.000001859162289e-06
67,67,PSO,9.561323346261797e-11,130,1000000.0000062548,2.0000075160490018e-06
68,68,PSO,2.4649490799499718e-11,173,1000000.0000033351,1.9999963221101557e-06
69,69,PSO,4.040100000004039,501,999999.9999999526,-1e-08
70,70,PSO,4.040100000004039,501,999999.9999999888,-1.0000000000000047e-08
71,71,PSO,4.754734103788219e-11,115,1000000.00000686,2.000000698315182e-06
72,72,PSO,6.66718766347048e-11,104,999999.9999932237,2.0000045556247707e-06
73,73,PSO,1000000000004.02,501,-1.0027616012198314e-08,-0.0015266685599981164
74,74,PSO,9.619671346966715e-11,219,999999.9999902172,1.999999298126301e-06
75,75,PSO,4.040100000004039,501,999999.9999999843,-1e-08
76,76,PSO,4.040100000004039,501,999999.9999999856,-1.0000000000000008e-08
77,77,PSO,9.06057959455881e-11,181,1000000.0000027721,1.999990893877868e-06
78,78,PSO,3.5844894231850204e-06,501,999999.999542522,1.9981628282730555e-06
79,79,PSO,4.873157290975037e-10,501,999999.9999789421,1.999993375806575e-06
80,80,PSO,4.040100000004039,501,999999.9999999929,-1.0000000000000004e-08
81,81,PSO,4.040100000004039,501,999999.9999999518,-1.0000000000000038e-08
82,82,PSO,5.923355308678232e-11,385,1000000.0000072954,1.999997548311101e-06
83,83,PSO,4.040100000004039,501,999999.9999999809,-1.0000000000000027e-08
84,84,PSO,8.960427598115915e-12,132,999999.9999982831,1.9999975479215727e-06
85,85,PSO,4.040100000004039,501,999999.999999955,-1.0000000000000013e-08
86,86,PSO,3.671107563635839e-11,261,1000000.0000019104,2.0000057499128177e-06
87,87,PSO,8.036721051253929e-11,132,999999.9999921164,2.0000042679593773e-06
88,88,PSO,1.1983982481323611e-11,122,999999.9999986646,1.999996806150936e-06
89,89,PSO,4.040100000004039,501,999999.9999999838,-1.0000000000000118e-08
90,90,PSO,1.6033633940590863e-11,159,999999.9999977391,2.00000330484283e-06
91,91,PSO,5.895448588225609e-11,368,1000000.0000067913,1.9999964177455e-06
92,92,PSO,3.8831318290319394e-11,126,1000000.000002621,1.999994346517008e-06
93,93,PSO,1000000000003.1969,501,4.0293284930304703e-07,-0.052038448371188914
94,94,PSO,1.1802733418117477e-11,109,999999.9999975982,2.000002456478024e-06
95,95,PSO,1000000000004.02,501,-1.0007792547535335e-08,0.005527388224334814
96,96,PSO,4.040100000004039,501,999999.9999999801,-1.0000000000000022e-08
97,97,PSO,1000000000004.02,501,-1.0002017672499469e-08,0.00254097633574702
98,98,PSO,3.340619270138508e-11,136,1000000.0000053645,1.999997848719207e-06
99,99,PSO,1.2832718611355826e-11,107,999999.9999967415,1.9999985116767883e-06
100,100,PSO,3.674152286937798e-11,134,999999.9999943465,1.999997813754784e-06
101,101,PSO,9.494392909890417e-11,130,999999.9999921356,1.999994247228688e-06
102,102,PSO,4.5708808717192183e-11,125,999999.9999989278,2.0000066752720116e-06
103,103,PSO,1000000000004.02,501,-1.0045760441044216e-08,0.002518813446922765
104,104,PSO,4.040100000004039,501,999999.9999999789,-1.000000000000003e-08
105,105,PSO,4.040100000004039,501,999999.9999999873,-1.0000000000000098e-08
106,106,PSO,3.0186925906118126e-11,199,999999.9999990821,1.9999945829619075e-06
107,107,PSO,1.5092280930927667e-11,295,1000000.0000005709,1.9999961572975587e-06
108,108,PSO,9.737136836032741e-11,118,1000000.0000085845,1.9999951339459684e-06
109,109,PSO,1.7110961404404213e-12,244,999999.9999988839,1.999999317744467e-06
110,110,PSO,5.5104501375500387e-11,288,1000000.000004182,2.0000061331377322e-06
111,111,PSO,1000000000004.02,501,-1.002863268422291e-08,-2.7832202862692836e-06
112,112,PSO,4.040100000004039,501,999999.9999999899,-1.0000000000000025e-08
113,113,PSO,4.040100000004039,501,999999.9999999773,-1.000000000000005e-08
114,114,PSO,8.949469663008379e-11,176,999999.9999906814,1.999998369452001e-06
115,115,PSO,2.697511904239362e-12,124,1000000.0000010182,2.0000012887357196e-06
116,116,PSO,4.6329753647043354e-11,126,999999.9999969706,2.0000060953103695e-06
117,117,PSO,1.1543010947575651e-11,144,1000000.0000025595,2.000002234258407e-06
118,118,PSO,9.321183550152494e-11,147,1000000.0000016723,2.0000095086888797e-06
119,119,PSO,5.206948187926294e-11,159,1000000.0000010757,2.0000071352903892e-06
120,120,PSO,3.2666116511464044e-11,112,999999.9999946305,1.9999980419112943e-06
121,121,PSO,9.380872737217711e-11,158,1000000.0000084229,1.9999952183728725e-06
122,122,PSO,8.086455431784255e-11,212,999999.9999985829,2.000008880110643e-06
123,123,PSO,1.5033407474666975e-11,444,999999.9999999945,1.9999961227100377e-06
