iteration,seed,final_objective_value,n_iter_opt,x0,x1
27,27,3.99375811144207e-11,105,999999.9999969528,1.9999944635514784e-06
28,28,2.8135181972776517e-11,110,1000000.0000049165,2.000001990890207e-06
29,29,5.6070391097939787e-11,112,1000000.0000014807,1.9999926598363693e-06
30,30,2.352738308923049e-11,108,999999.9999968547,2.00000369248694e-06
31,31,9.145543050482466e-11,111,999999.9999904984,2.0000010841310775e-06
32,32,7.752776566377036e-12,119,999999.9999976808,1.9999984592362798e-06
33,33,8.553310656237083e-11,97,1000000.0000089003,2.00000251349683e-06
34,34,9.239135220404246e-11,111,1000000.0000095587,1.9999989891724863e-06
35,35,2.3910956653522668e-11,115,1000000.0000045566,1.999998225662079e-06
36,36,6.593293099440989e-11,110,999999.9999967034,2.0000074205884987e-06
37,37,4.178539613218818e-11,114,1000000.00000535,1.9999963718929586e-06
38,38,5.9080335127303e-11,101,1000000.0000025973,1.999992765760334e-06
39,39,1.0965701151191695e-11,121,1000000.0000032722,1.9999994916666906e-06
40,40,8.704024823251764e-11,106,1000000.0000022987,2.000009041900992e-06
41,41,4.7992673494849924e-11,112,1000000.0000057057,1.9999960709790353e-06
42,42,6.418409500264081e-11,110,999999.9999991779,1.999992030798078e-06
43,43,3.910817568217613e-11,117,999999.9999951122,1.9999960990543933e-06
44,44,6.043176553815323e-12,114,999999.9999975662,2.0000003462673474e-06
45,45,3.6846652163899157e-11,115,1000000.0000005359,1.9999939535531526e-06
46,46,9.02587678564115e-11,100,1000000.0000055014,2.0000077454998443e-06
47,47,3.867822555501794e-11,120,999999.9999993497,1.9999938149111086e-06
48,48,9.958533691592007e-11,115,999999.9999997219,2.000009975369637e-06
49,49,9.365474722316779e-11,109,999999.9999940079,2.0000075992969465e-06
50,50,1.0909747326536184e-11,116,999999.9999967157,1.9999996492055866e-06
51,51,4.0443101555676365e-11,115,999999.9999942697,1.9999972419989567e-06
52,52,7.63238266005389e-11,112,999999.9999914883,1.999998031595518e-06
53,53,9.16732851106442e-11,124,999999.9999932144,2.0000067549152602e-06
54,54,7.534719041843297e-11,111,1000000.0000086549,2.0000006632673845e-06
55,55,5.4401985622047255e-11,107,1000000.0000061844,1.9999959807098303e-06
56,56,2.0132208208041576e-11,107,999999.9999980286,1.999995969386038e-06
57,57,9.762639883325e-11,107,999999.9999904494,1.9999974677269264e-06
58,58,3.159804774512985e-11,108,1000000.0000056037,1.9999995559871814e-06
59,59,4.2034867896520586e-11,115,999999.9999996319,1.999993527028743e-06
60,60,8.883024011323012e-11,101,999999.999997779,1.9999908404451913e-06
61,61,1.941013342607037e-11,116,999999.999995963,2.0000017641952643e-06
62,62,7.299449769460561e-11,104,1000000.0000044707,2.0000072806064604e-06
63,63,4.2165851772038676e-11,104,1000000.000001047,1.999993591444227e-06
64,64,6.719501968988177e-12,105,999999.9999987035,1.9999977553323502e-06
65,65,4.081237244791636e-12,113,999999.9999989488,1.9999982748493604e-06
66,66,8.015484131242118e-11,113,999999.9999918523,2.0000037108416137e-06
67,67,9.626562298513415e-11,102,1000000.0000053827,2.0000082031724573e-06
68,68,6.036081407039934e-11,121,1000000.0000004949,1.9999922465542056e-06
69,69,7.690752094597693e-11,116,1000000.0000004418,1.9999912414411807e-06
70,70,1.0145239031933488e-12,116,1000000.0000004296,2.000000911037745e-06
71,71,5.109569982715194e-11,105,999999.9999967688,1.99999362388747e-06
72,72,1.9650833438752547e-11,119,999999.9999998936,2.0000044316490835e-06
73,73,2.176164679103219e-11,107,1000000.000004487,1.9999987238578284e-06
74,74,2.5190635695874237e-11,107,1000000.0000034808,2.0000036158665003e-06
75,75,9.228756176711286e-11,100,999999.9999912347,1.9999960683767184e-06
76,76,8.051665143496068e-11,121,999999.9999910425,2.000000529689908e-06
77,77,8.761033188103242e-11,102,1000000.000007661,2.00000537774285e-06
78,78,1.421674594069486e-11,109,1000000.0000014111,2.000003496513597e-06
79,79,7.938864443812294e-12,114,1000000.0000026955,2.000000820512777e-06
80,80,7.295759185087115e-11,108,999999.9999931816,1.999994855463687e-06
81,81,9.200635388727148e-11,116,1000000.0000002045,2.0000095898127576e-06
82,82,8.556785874472697e-12,108,1000000.0000016156,1.9999975614348424e-06
83,83,7.541857366850548e-11,103,1000000.0000031004,1.9999918878879165e-06
84,84,7.384218610747329e-12,103,999999.9999972964,1.999999726863514e-06
85,85,7.807110512454596e-12,111,1000000.0000025114,1.999998775314925e-06
86,86,1.9526631066833502e-11,107,1000000.0000027119,1.9999965111183962e-06
87,87,6.355336079759533e-11,113,1000000.0000005277,2.0000079545499854e-06
88,88,6.545958122910121e-11,108,999999.9999994233,1.9999919298726825e-06
89,89,3.888354688621879e-11,114,1000000.0000051169,1.999996436187546e-06
90,90,3.425419236081639e-11,118,999999.9999960694,2.0000043363896597e-06
91,91,9.2041553403876e-11,116,1000000.0000016361,1.99999054670486e-06
92,92,1.9306093662833185e-11,109,1000000.0000042906,1.9999990529863024e-06
93,93,5.3293045885685105e-11,116,999999.9999999715,2.000007300152959e-06
94,94,1.2651570520633495e-11,110,999999.999997235,1.9999977624947672e-06
95,95,9.25785528250714e-11,119,1000000.000006393,2.0000071908686894e-06
96,96,9.571233564053294e-11,114,999999.9999976277,2.0000094912888583e-06
97,97,8.40875200694355e-11,103,1000000.0000024583,2.000008834250737e-06
98,98,2.699714538391164e-11,109,1000000.0000020778,2.0000047623453587e-06
99,99,7.071569867422111e-11,121,1000000.0000051169,1.999993326696872e-06
100,100,1.5799900355489108e-11,112,1000000.0000024379,2.0000031395447523e-06
101,101,7.396681083993724e-12,118,999999.9999992107,2.000002602633534e-06
102,102,8.08775935752483e-11,115,1000000.0000001676,2.000008991634169e-06
103,103,4.951743790759667e-11,117,999999.9999971084,2.0000064152887065e-06
104,104,2.2036554448495138e-11,122,999999.9999983966,1.9999955880081205e-06
105,105,3.0106882145098785e-11,107,1000000.0000013947,1.99999469322625e-06
106,106,8.675196962161278e-11,109,999999.9999917664,2.0000043543206005e-06
107,107,9.57173377315166e-11,107,999999.9999980286,2.000009582853739e-06
108,108,6.182022953105539e-11,110,1000000.0000076569,2.0000017867677124e-06
109,109,3.299274193291607e-11,113,1000000.0000007689,1.9999943077669978e-06
110,110,1.4578291664962002e-12,110,1000000.0000011165,2.000000459529096e-06
111,111,4.685896430586753e-11,124,1000000.000002311,2.000006443474689e-06
112,112,2.961285141622689e-11,104,999999.9999959385,2.0000036217601107e-06
113,113,3.0588596368476456e-11,96,999999.9999957258,1.9999964900358012e-06
114,114,8.089609685216919e-11,111,999999.9999977053,2.00000869659135e-06
115,115,1.154368479984955e-11,118,999999.9999969488,2.0000014945244794e-06
116,116,1.0938983483824875e-11,119,999999.999998004,1.9999973628199815e-06
117,117,1.4359131639740206e-11,108,1000000.0000037384,2.0000006189908293e-06
118,118,4.410853115195432e-11,105,1000000.0000058531,1.9999968616120235e-06
119,119,2.122689838415871e-11,117,999999.9999979304,1.999995883752998e-06
120,120,5.115619867346737e-11,115,1000000.0000068797,1.9999980439178073e-06
121,121,1.609006188173417e-11,113,999999.9999960652,2.000000779182277e-06
122,122,1.7758088177374302e-12,104,999999.9999988752,2.0000007145810703e-06
123,123,9.066551908685085e-11,114,1000000.0000076978,1.9999943956403387e-06
124,124,1.1578968203722517e-11,116,1000000.0000033417,1.999999358123239e-06
125,125,4.4065049987418274e-11,124,1000000.0000020942,2.000006299154196e-06
126,126,2.1638985731026564e-11,116,999999.9999990921,1.999995437693038e-06
127,127,6.903166695107054e-11,120,1000000.0000066344,1.9999949983370583e-06
128,128,3.1028651943402027e-11,103,1000000.0000046343,2.000003090666339e-06
129,129,5.784001907889985e-11,109,999999.9999933902,2.0000037616854253e-06
130,130,9.714003277843652e-11,108,999999.999994601,2.0000082456704597e-06
131,131,6.99778848144905e-11,107,999999.999995783,2.0000072245883146e-06
132,132,2.4985394190610954e-11,104,999999.9999988589,1.99999513345544e-06
133,133,5.6464636205474074e-11,114,999999.9999928422,1.9999977129656206e-06
134,134,6.733803307140303e-12,107,1000000.0000002986,1.9999974222798327e-06
135,135,9.121027374427908e-11,95,1000000.0000060127,2.0000074200480875e-06
136,136,9.372995734526187e-12,115,999999.9999969569,1.9999996645074278e-06
137,137,5.944025091195054e-11,106,1000000.0000070393,2.0000031446184707e-06
138,138,9.908631168406513e-11,119,1000000.0000099312,1.9999993229225237e-06
139,139,8.106067730506011e-11,105,999999.9999910751,1.999998813647024e-06
140,140,5.91488236593799e-11,121,1000000.0000073788,2.0000021685879067e-06
141,141,6.350509478236785e-11,102,999999.9999987402,2.0000078687941227e-06
142,142,4.379363503671975e-11,121,999999.9999992433,2.000006574272634e-06
143,143,2.2476674115611495e-11,116,999999.9999962371,1.99999711603205e-06
144,144,8.909582722657343e-11,118,1000000.0000027119,2.0000090410925824e-06
145,145,4.090759296747488e-11,118,1000000.000004303,1.999995267943906e-06
146,146,8.88663821927575e-11,109,1000000.0000038039,1.9999913746257136e-06
147,147,2.2034852009111934e-11,116,999999.9999959875,1.999997563863344e-06
148,148,2.0776837771806652e-11,119,999999.9999984785,2.000004296714422e-06
149,149,9.677082078431699e-11,110,999999.9999916519,2.0000052037974157e-06
150,150,8.643757455363728e-11,98,999999.9999908297,1.999998469082582e-06
151,151,3.0771947483385945e-12,114,999999.9999987894,1.999998730500436e-06
152,152,9.949921038850709e-11,110,999999.9999904413,2.0000028512630213e-06
153,153,9.277728238274925e-11,108,1000000.0000086837,1.999995832072391e-06
154,154,5.912657571877473e-11,106,999999.9999969159,2.000007043801944e-06
155,155,7.297884622072846e-13,105,999999.9999991492,1.9999999226034617e-06
156,156,4.2255399313583146e-12,111,999999.9999995133,2.000001997156812e-06
157,157,7.883481973332779e-11,108,1000000.0000088718,2.000000355453556e-06
158,158,8.966936434638332e-11,102,1000000.000009158,1.999997591747434e-06
159,159,5.2341187618514665e-11,104,999999.999992883,1.9999987004847217e-06
160,160,7.571281403928733e-11,106,1000000.0000077838,2.0000038891842055e-06
161,161,3.145940281604884e-11,117,999999.9999952595,2.0000029977760563e-06
162,162,1.336036567217021e-11,110,999999.9999964212,1.999999256857651e-06
163,163,1.1399994535573968e-11,106,999999.9999997505,1.999996632842165e-06
164,164,1.7990695440745597e-11,112,1000000.0000028836,1.9999968894471584e-06
165,165,2.4698396004946505e-11,107,999999.9999991126,1.9999951101288826e-06
166,166,1.8619244075394197e-11,110,999999.9999978731,1.9999962456059353e-06
167,167,7.384760947325166e-12,119,999999.9999975091,1.9999989137335455e-06
168,168,8.09925932307107e-11,109,999999.9999926048,2.000005128767046e-06
169,169,3.8418697201823267e-11,111,999999.9999972269,2.0000055433304185e-06
170,170,3.901284138500736e-11,102,1000000.0000051536,1.9999964710588755e-06
171,171,2.499409855356486e-11,104,999999.999996282,2.000003342297182e-06
172,172,2.2675744982737337e-11,107,999999.9999953167,2.000000861814755e-06
173,173,3.438905374595412e-11,103,999999.9999991902,2.0000058080393292e-06
174,174,6.182017543258049e-11,111,1000000.0000054686,1.999994350698584e-06
175,175,7.007063893870085e-11,121,999999.999995652,1.9999928469973733e-06
176,176,5.946512614605163e-11,102,999999.9999932144,2.000003663418799e-06
177,177,1.7761357312786464e-11,108,999999.9999966461,2.000002551974885e-06
178,178,5.777676705418066e-11,112,1000000.0000075874,2.000000456717549e-06
179,179,4.1748619134167534e-11,112,1000000.0000055176,2.000003362202837e-06
180,180,2.8811622721306433e-12,120,1000000.0000011208,2.000001274699647e-06
181,181,5.3037939938496063e-11,118,999999.9999947686,2.000005066652495e-06
182,182,9.894605921058372e-11,103,999999.9999991126,2.000009907499951e-06
183,183,3.593536238060945e-11,109,1000000.0000059718,2.000000522944589e-06
184,184,1.0101642020605629e-11,117,999999.999999816,1.999996827025951e-06
185,185,9.676523008199679e-11,117,999999.9999903553,1.999998064622602e-06
186,186,8.795287784276434e-11,109,999999.9999909851,2.0000025856124004e-06
187,187,7.661122768050744e-11,106,999999.9999931285,1.9999945784556334e-06
188,188,8.548738488793553e-11,123,1000000.0000054196,1.9999925089723585e-06
189,189,5.35998680782331e-11,104,1000000.0000023928,1.9999930808642195e-06
190,190,9.706253072323702e-11,125,999999.9999959794,1.999991005731132e-06
191,191,9.923213906631445e-11,101,999999.9999904413,1.999997196000488e-06
192,192,2.7937239739173667e-11,120,1000000.0000029572,2.0000043808974544e-06
193,193,8.460267778822574e-11,109,999999.9999929403,1.9999941039215598e-06
194,194,2.2719959417991384e-11,120,1000000.0000015707,1.999995499670446e-06
195,195,6.839344152197065e-11,110,999999.9999981634,1.999991936477207e-06
196,196,4.631799087576339e-11,105,1000000.0000061722,1.999997132647004e-06
197,197,7.00455588345822e-11,110,1000000.0000078696,2.0000028487725344e-06
198,198,2.940004624786562e-12,104,1000000.0000016402,2.0000004998257454e-06
199,199,4.5353604840787375e-11,112,1000000.0000026136,1.999993793346019e-06
