iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0,9.585379695839324e-06,50,0.01001139048887625,0.0337960739393953,1.3573567423495963e-05,8.774875162018884e-11,6.015378064523659e-13,-0.40271035099914204,0.9766248156844821,-0.5334867943717723,0.9795266400456896,0.2569955571428243
1,1,9.652285859860909e-06,232,0.901972395827327,0.027396333033453398,1.620910169156508e-08,1.04240151879869e-08,2.9661497868097038e-12,0.5769668584134522,0.9372295651469817,0.901841811166923,-0.4017737227404016,0.3008283376043882
2,2,9.756388757011754e-06,81,1.021818454556773,0.02704921666868054,2.6169210657636008e-08,9.923710548961833e-09,2.6803583208697325e-12,0.5441223516696132,0.0027980260521952936,0.6141336841412375,-0.35686561461272026,0.26637070452743355
3,3,0.00036830516480580993,501,4.114475113438145,0.006034000531648938,4.3134255959088266e-05,3.964708067183547e-08,6.742477667084904e-12,0.5156604629896571,0.3786209484746932,0.26019549196958736,-0.2817817074457901,0.27198260099886995
4,4,6.761076702811535e-06,31,0.5630515900081563,0.030496322964928272,8.802853783662826e-06,9.393313835756713e-10,3.667103960583892e-13,0.7801674306557826,0.08782821890796527,-0.4170703037708422,-0.24314501107187977,-0.20463166488604342
5,5,2.452692291584146e-05,501,0.9656257722530364,0.028174477103195986,5.730982903749941e-06,1.870480595435964e-11,2.698146946614509e-12,0.9207503361386734,0.2287694474570222,-0.7644068551949902,0.9932488987486294,-0.6672389013865113
6,6,1.134746428110173e-05,501,0.01000545271456184,0.03350136876477879,1.1303455531946406e-05,4.823902721850363e-09,3.685405965049585e-12,-0.9646414988549179,0.9333817527101991,-0.8719578274837227,-0.8371730372531945,0.47940559431222807
7,7,9.454345740969735e-06,81,0.011120634756990242,0.03373259200907477,1.3462611339214488e-05,1.0278371439266357e-11,7.067220338094747e-13,-0.6023424273159691,0.3394607611292349,-0.3307892265841207,-0.9504950813910815,0.11239880939058448
8,8,0.0012402143248024856,501,5.595314076546531,1.0000067788123562e-05,3.894291466958481e-05,1.2101079046568157e-08,1.2436521937632254e-11,0.8012774751801687,-0.4703381226645772,0.8052592444887537,-0.38112587585737456,-0.9655764477952395
9,9,3.2112744521300307e-06,87,0.23871548436887605,0.03264937299004954,1.2351363695738814e-05,3.8355797460438476e-11,4.806934603719106e-13,0.047651096399872195,0.6933303986673176,-0.6375712275579168,-0.4254699130360132,0.623721007608768
10,10,2.9086390402764125e-05,501,1.2142274088570872,0.026099082717301356,1.0729383288805589e-08,6.293997503069884e-09,3.1950596986590225e-13,0.6438439568166878,0.7985174398543157,0.38448477729271546,-0.7752439001855849,-0.6084507767584169
11,11,9.90801753447749e-06,31,0.08449125876194892,0.03445699307453408,1.4916016341018866e-05,1.7278214684760932e-10,1.3877912922984202e-12,-0.38718621583079194,0.7815020212139464,-0.1952400710778265,0.5519342905482243,0.34800197145894174
12,12,2.877696737863403e-05,501,0.7509270580861384,0.02922293912653602,7.524556391156772e-06,6.81522735796478e-10,2.256286883494461e-12,0.48444502836641323,0.8640272963926166,-0.2772985414992928,0.908494781678985,-0.7515410010936792
13,13,7.3693048136442595e-06,27,0.012755499508884454,0.033993281166810406,1.4328385015989504e-05,1.7265055417638398e-10,1.167756108584604e-12,0.3610689039173045,0.19050946418161122,-0.549437912239834,0.12171951480530634,0.3440583620178005
14,14,2.4714542458449932e-05,501,1.1399427776312863,0.026675219606113555,1.2500255979796132e-06,5.424528021539832e-09,4.0652032569643034e-13,0.9185507580395337,0.9950096387568053,-0.3216654920695219,-0.3470729856650308,-0.5848801315358583
15,15,9.840252874931724e-06,235,0.9665513184465633,0.027469289194443247,1.247964771929974e-06,8.251045408705515e-09,1.899780886337355e-12,0.7656429764233549,0.8838342309648652,-0.13241952950195524,-0.4076278849021093,0.5652278269264641
16,16,9.848456060947153e-06,25,1.0481922305184568,0.026468839231019746,2.833591572255103e-06,1.4211300949791703e-08,4.7892875999276075e-12,0.532037820905262,0.20643036955415794,0.05253574101800325,-0.30867049807968533,0.43832303362104497
17,17,4.739315083330477e-06,21,0.26080569184935887,0.03242058466484876,1.1838545937366805e-05,5.202499196465962e-10,6.129248012044118e-13,0.7380782544584872,0.019057090852685296,-0.31160039407128226,-0.02904275364946496,0.06567252864969664
18,18,7.583562391955436e-06,27,0.26378550735440354,0.032628979905337446,1.2368530244749485e-05,1.5887873618916046e-10,7.001847847459849e-13,0.2233291290844599,0.3289902525297942,-0.7346007009166796,-0.5292910533590576,0.26681217140362684
19,19,9.859062787264721e-06,190,0.4051842946915226,0.02989603956789416,3.880570478915955e-07,1.8620292932864603e-08,9.8319423738033e-12,0.3851497128926401,0.35886576537158876,-0.40094900737812783,-0.7094544705510094,0.459934353644265
20,20,3.0952849062014786e-05,501,1.18869382324702,0.026081295394397755,3.444517675879983e-07,6.572068495894737e-09,3.451621948189001e-13,0.5372379235819641,0.6687831523805101,0.5237452055608751,-0.5964353319123525,-0.6768000839257842
21,21,1.633504677385064e-05,501,1.094979712476521,0.0265685226017789,3.9742405284943296e-07,8.903540273157943e-09,1.6113273942386296e-12,0.14716770876003724,0.45799858116831976,0.583446331662529,-0.4010807539451128,0.507497125841688
