iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
0,0,3.0640953624426166e-06,33,0.19170464231273002,0.03293270547337608,-1.3018538677070658e-05,8.412206431710565e-10,-1.5548717820367434e-14
1,1,8.631398926497361e-06,48,-0.08950367547532243,0.03475232984722782,-1.6576827541781485e-05,2.9310103251047437e-09,4.664561218786273e-14
2,2,0.0005485687919367748,501,4.4196742328016505,0.004690520198136358,4.146486337482963e-05,-3.055990402603268e-08,-1.5778493755205682e-14
3,3,9.989986870324531e-06,78,0.6047643242781329,0.030480966707989998,-8.946342314772914e-06,-1.2564113136570625e-09,1.642757130291125e-14
4,4,2.5012811984635807e-05,501,1.1598866308963796,0.026288828951119496,3.184160497456168e-08,-7.028197398553058e-09,3.1677871143487637e-13
5,5,1.843978352143716e-05,501,1.0671213283103904,0.02673995040230408,-1.1904439533868633e-07,-7.904380534148778e-09,9.509528262354055e-13
6,6,1.6079107297816614e-05,501,1.039092292785736,0.027265944912595198,-1.8702833753634685e-06,-6.281367003213867e-09,6.619807211819714e-13
7,7,9.850614256003215e-06,281,1.024297336775009,0.027061576325885527,-5.08114942737999e-08,-9.88260607793446e-09,2.7092654553352714e-12
8,8,9.893047406047243e-06,214,1.015239694129571,0.027072775561755344,6.677905820346315e-08,-9.961133845097743e-09,2.652216768548986e-12
9,9,9.026557034052457e-06,27,0.0714358640861096,0.03339572571464226,-1.31881297657331e-05,5.775105247485412e-10,-1.559945234996343e-14
10,10,4.2349407487596275e-05,501,1.2603303266727883,0.02646005993178643,-2.696037891604313e-06,-1.613761024835939e-09,-2.7292789950284213e-12
11,11,9.376502959612275e-06,70,0.6833972755156752,0.03003664001531296,-8.607649176121448e-06,2.7148176582721815e-11,-1.2694296765425386e-12
12,12,3.348393149057386e-05,501,0.9926707942899503,0.027656250354663525,-4.08531908140223e-06,-1.1986172356261084e-09,-2.775144060236675e-12
13,13,9.81205616781585e-06,36,0.1171284380189732,0.032921891436462125,-1.2161548215943721e-05,6.03334150324869e-11,-7.221906267993369e-14
14,14,9.897476014895754e-06,73,0.18587722644210897,0.03205302776973685,-8.808345201253598e-06,-5.5240396274646e-09,3.1458314081531365e-12
15,15,9.973717776212318e-06,496,0.9840105234411679,0.02724074880837645,-3.311297729688981e-07,-9.384163532577768e-09,2.305182756231474e-12
16,16,2.6229788375159998e-05,501,1.1979571432649474,0.0261344034093715,2.9118206229770435e-07,-7.104099645737018e-09,1.8394106223159764e-13
17,17,2.271219222445505e-05,501,1.1150885718866521,0.02672551350710763,-8.909898252322829e-07,-6.236085389932688e-09,3.407204068853362e-14
18,18,9.915237273835263e-06,158,1.0042372522503904,0.027098294293527062,-1.3898898634306746e-07,-9.606558120495938e-09,2.483335763929666e-12
19,19,2.130419436773975e-05,501,1.0991649303333124,0.026876784467410226,-1.3853634324821295e-06,-5.819951974009209e-09,1.2625217505892141e-14
20,20,7.3872461427114374e-06,13,0.40306848623293845,0.03187704976281543,-1.1374482793822458e-05,-2.9179799559021935e-11,4.44660221864064e-14
21,21,2.9673115223467725e-05,501,1.2565137671515296,0.0260697680096228,-1.7096946374020522e-07,-6.395217572483083e-09,1.1094215417867991e-14
22,22,3.1172144880406885e-05,501,1.1218203096630393,0.027252241174187203,-3.960931858336077e-06,-1.4058866965186154e-09,-2.253729567324951e-12
23,23,1.9719066944149265e-05,501,0.8978752199883697,0.028414449608856213,-5.617465565548193e-06,-9.461133471310057e-10,-1.994278100776926e-12
24,24,1.2972409848104396e-05,501,1.0294553240379556,0.027149110219116823,-9.322397473098022e-07,-7.966973324437745e-09,1.5498135735874345e-12
25,25,9.814009487768328e-06,268,1.0318955822722333,0.026976789236979874,1.9937671059743413e-07,-1.0272164506035348e-08,2.9333312292766424e-12
26,26,2.4943892805863377e-05,501,1.14274017884105,0.02637225503599259,-3.3227389518541e-08,-6.940275958673702e-09,1.6008179187767998e-13
27,27,2.1914220566566175e-05,501,1.0888648060455983,0.026841595155655883,-1.0778749926931072e-06,-6.0921693566723145e-09,-3.212741224839907e-14
28,28,0.00040096771304914876,501,3.7361216154878543,0.008685842625380864,3.47297746598042e-05,-2.742014836516838e-08,3.1481479798489957e-13
29,29,9.543863830070104e-06,350,0.8834960829086248,0.02807082812715076,-2.866797634172237e-06,-6.3679353443490424e-09,1.0967106177165338e-12
30,30,2.395909798535538e-05,501,1.130418768149114,0.026618099848190434,-6.875665404912155e-07,-6.292991472031076e-09,-4.7124096878247296e-14
31,31,8.437697069871937e-06,26,0.47586668809029,0.031220123646148616,-1.0425816191162835e-05,-1.3563647577143008e-10,-1.1790074895406251e-13
32,32,2.175691066713166e-05,501,1.150102556531931,0.026434106822751404,-1.4841773852860788e-07,-7.503910096379836e-09,9.016664026029027e-13
33,33,2.6158858724709382e-05,501,0.9730001521009527,0.028187709108304555,-5.827764389764774e-06,-1.0980452486097884e-11,-2.6414494243830564e-12
34,34,5.671429007352976e-06,41,0.058928559280160484,0.03348426255221649,-1.3249107312904122e-05,1.450316505670872e-11,6.377216535307644e-13
35,35,0.00014030094744947887,501,3.888979452020369,0.004419997052929909,5.948531370506957e-05,-7.229406954343475e-08,2.506290425306282e-11
36,36,1.2482501905982761e-05,501,1.024611640708431,0.026973556776740112,-1.1766945642612026e-07,-8.980748252337215e-09,1.8989738826009943e-12
37,37,9.769854838697945e-06,30,0.0859044454051988,0.03316757273660386,-1.259207839060151e-05,1.541580200914355e-10,9.481217704494029e-14
38,38,1.2823449265783849e-05,501,1.068161801218803,0.026798142376202698,1.455777111701279e-07,-9.465309796083328e-09,2.3223560598548892e-12
39,39,8.245424800308204e-06,440,0.6330282762665459,0.030215035452103564,-8.678724067273001e-06,8.466677743390788e-11,-1.4478480845053423e-12
40,40,9.889410035625333e-06,363,0.9643774209727052,0.027359241948402398,-7.677995038576708e-07,-9.132297012750613e-09,2.4327259256693e-12
41,41,2.636141857272287e-05,501,1.2026287469164951,0.026170151689853895,4.4668585920996636e-08,-6.748842145602586e-09,6.980250019390781e-14
42,42,9.786147746806513e-06,260,1.019774325392561,0.02704393673238774,2.185969945707189e-08,-9.975134030696032e-09,2.7722529589742845e-12
43,43,3.700058402936439e-05,501,1.2256603421633931,0.02643515232870708,-1.5351129975489923e-06,-3.921057007321815e-09,-1.5602070541292468e-12
44,44,9.093204921522626e-06,396,1.0073498839431185,0.02707381250820925,7.395460959597143e-08,-1.0141995276496423e-08,2.8413812537340214e-12
45,45,9.947453396087957e-06,379,0.9947646884582372,0.02726458188484429,-5.913643818103958e-07,-9.086713386841884e-09,2.249777239936864e-12
46,46,2.048705808260797e-05,501,1.0831012344017719,0.02698546316878819,-1.6540671763251996e-06,-5.690391459050113e-09,4.242766761106041e-14
47,47,9.742961827412811e-06,340,1.0153896074605424,0.027078286435836037,-9.671433828764696e-08,-9.837484570671323e-09,2.7065220624598026e-12
48,48,0.0005875461005676281,501,3.7987842252551953,0.011202777032354646,1.961319652325538e-05,-2.8573834077145728e-09,-1.1780196013083275e-11
49,49,9.527947940529732e-06,300,0.9840596639584684,0.02722711552769876,1.5215861414955966e-08,-1.0675197270823731e-08,3.4150401210816414e-12
50,50,9.91035151115776e-06,247,1.0219354509143093,0.027105142876138487,-1.709240893348582e-07,-9.931257341728596e-09,2.860275594901007e-12
51,51,9.248161608943877e-06,172,0.05357176661969234,0.03307644443455432,-1.0608482782292763e-05,-5.102947952520053e-09,3.6402298488262784e-12
52,52,5.339235635384984e-06,43,0.22317071898991486,0.03239373004157933,-1.1453007267471384e-05,-2.8045051924413325e-10,4.753652641545887e-14
53,53,9.133155491645515e-06,61,0.11811845552745565,0.033022167307703396,-1.2377521719455617e-05,2.3315646574547405e-11,3.404256818907716e-14
54,54,9.987028490887176e-06,57,0.518550219111217,0.03121632126715194,-1.0518103319853737e-05,-1.5971881526498562e-10,-4.408997961810786e-14
55,55,9.434142290687908e-06,250,0.9001962067200452,0.027821885017678998,-1.9135925061197966e-06,-7.655598076958103e-09,1.7136052503722199e-12
56,56,0.00023609595662058979,501,3.666817945049077,0.007377437394557441,4.548156333106063e-05,-5.024375722493407e-08,1.4598906222132783e-11
57,57,3.2361673180193485e-05,501,1.3028517665975086,0.0256836865090756,8.060034691967044e-07,-7.100505974205865e-09,3.064843612167856e-14
58,58,8.008145271410526e-06,47,0.4319523603958151,0.02965174023562603,-3.3597636597099327e-07,-1.7113891378114e-08,8.360752962412578e-12
59,59,9.949374064903677e-06,22,0.7729267311422667,0.028883998302986873,-4.917172367960584e-06,-3.998760833857796e-09,1.748110086997454e-14
60,60,8.616685402358057e-06,87,0.5217364622054931,0.03095289841296904,-9.873922471839912e-06,-5.221661455832993e-10,-5.309181933034128e-14
61,61,9.85931154824369e-06,283,0.9543629012350426,0.02754184121377007,-1.4497827825754925e-06,-8.022813705284894e-09,1.8298071431285535e-12
62,62,9.976434748895889e-06,459,1.0344658401857374,0.027001617683148082,2.5301457738518907e-07,-1.0717026883085117e-08,3.350182064550281e-12
63,63,7.199592833775809e-06,74,0.3635333710119544,0.0316903223312245,-1.0486107281023792e-05,-1.7395503713597744e-10,-5.084925041001386e-13
64,64,9.156171652337677e-06,53,0.4763166199796393,0.030536095169874315,-7.80747710754483e-06,-2.4271166304117505e-09,5.949861165469465e-14
65,65,1.3976892386661636e-05,501,0.9351889818872041,0.027952926578736898,-3.477490790845742e-06,-4.6157465364524575e-09,1.314960925152521e-14
66,66,3.4042141211685395e-05,501,0.7937143130566854,0.02845378455533108,-4.4185777286056896e-06,-2.3113122751848147e-09,-1.86074655277825e-12
67,67,9.931112622209773e-06,205,1.0059014872563172,0.027112589903496676,-1.7845832836139309e-07,-9.527790457575148e-09,2.415333941274411e-12
