iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3
0,0,1.0432468548190496e-08,501,46.74080193367212,2.13945838776919e-06,0.9561144083781975,-0.4784833615565581
1,1,1.131825038810724e-08,501,14.74372181403611,6.782547822759063e-06,0.13276119930473712,-0.17524104636225057
2,2,7.902781578788233e-10,501,9.202731891331611,1.086662358080317e-05,0.6827707000993039,-0.16137877339854992
3,3,1.0402940039616384,501,0.009948092145612996,0.009948091711255639,-0.55692012167715,0.4737168727639677
4,4,3.891781017825854e-10,501,8.986467332030855,1.1127688196307081e-05,0.008277961035707318,-0.9985405161599661
5,5,3.782726777828294e-09,501,1.1544752881890019e-05,8.661947598398376,0.9192213119519504,-0.3205013778124015
6,6,1.5445508744392111e-09,501,8.812761659148807,1.1347046456026436e-05,0.4321848546197163,-0.004814254467968751
7,7,2.3214014645295146e-09,501,9.685948183806705,1.0324243207016697e-05,0.2595512145728147,-0.09013301274537742
8,8,1.0402940039616384,501,0.009948091920212601,0.009948091927732028,-0.37202923348910116,0.7341732702256442
9,9,1.0489670812790579e-08,501,2.4190964545330547e-06,41.33774775502299,0.04661193872962074,-0.45573941998706646
10,10,1.0565592531041876,501,1e-06,2.29077104528742,-0.9406985812801802,-0.35225155733771096
11,11,1.0200999898994605e-08,501,1e-06,99.99999999992302,0.13156065466806616,-0.4369269789545389
12,12,1.0402940039616384,501,0.009948092292378216,0.00994809152227371,-0.9986550481232048,0.26158804390588625
13,13,2.0902802069493477e-10,501,1.1131352746707335e-05,8.983616014265547,0.021333319222354315,-0.06012337490437343
14,14,1.2841733663654962e-10,501,1.1101299166737737e-05,9.007953224038724,0.32241315420834404,-0.03942199449708271
15,15,1.8862446840494545e-09,501,1.0871057494211733e-05,9.198347617668382,0.005220298781743349,-0.08361203104777293
16,16,1.0565592531041876,501,2.2907709951411332,1e-06,0.15460458566942292,0.828634293417464
17,17,1.0565592531041876,501,1e-06,2.2907710435378417,-0.9994751881125824,-0.9996968252664747
18,18,1.0402940039616384,501,0.009948092120759554,0.009948091708367955,-0.7315735564444192,0.9811252871974309
19,19,1.0711734200961602e-08,501,28.594100183774835,3.497225784741405e-06,0.9960553463633338,-0.12881998134322564
20,20,1.0860937061284364e-08,501,4.215872496382877e-06,23.719881603694798,0.9953275973187135,-0.5520900161660377
21,21,1.0404221056942635,501,0.009628292277858524,0.010167924111256253,-0.06036686256378473,0.3342488735904159
22,22,1.0402940039616386,501,0.00994809126989372,0.009948092553729667,-0.9011749777919894,0.6320416682149337
23,23,1.1274921086699326e-08,501,6.316699332915702e-06,15.831052757707733,0.0889133607681572,-0.18507180229479106
24,24,1.0220502858029762e-08,501,91.19902662368183,1.096502940386235e-06,0.999998419947156,-0.9227599476580529
25,25,7.584831437789718e-10,501,1.12580134722599e-05,8.882555350198906,0.14145286294081694,-0.972807100676067
26,26,1.0565592531041876,501,1e-06,2.2907710000341748,-0.9999866790560349,-0.23349286243818182
27,27,1.0402940039616384,501,0.00994809202667378,0.00994809182929963,-0.262176184395604,0.9996768753397018
28,28,3.433895556262784e-10,501,1.1172484297744906e-05,8.950571717923415,0.46817296793510665,-0.19699806216949314
29,29,1.0402940039616384,501,0.009948091718168918,0.00994809211981489,-0.4258556784115379,0.9099545373775823
30,30,1.0537088416681479e-08,501,2.6503112255717873e-06,37.73141576648438,0.530786017281878,-0.3282639363854091
31,31,1.507035975188206e-09,501,8.803730058078724,1.1358830334386684e-05,0.2123756432595448,-0.2064624647483646
32,32,1.0866656412946884e-08,501,4.243308635414401e-06,23.56651709834911,0.10584236031242025,-0.9956956493920575
33,33,1.0722016322726723e-08,501,28.191439575037144,3.5471761042275192e-06,0.3058217679261862,-0.18501727110771332
34,34,1.0402940039616384,501,0.009948091951612647,0.009948091924228767,-0.6392296679989473,0.6186488273492987
35,35,5.186953622424858e-09,501,8.608206033396929,1.1616680929107953e-05,0.9591921881501493,-0.9477924618281314
36,36,1.0201272970523233e-08,501,1.001350271177547e-06,99.86515673257566,0.1285165765285316,-0.12077201404304465
37,37,1.0402940039616386,501,0.009948092466393875,0.0099480913865166,-0.9613302041894698,0.5203590837525329
38,38,1.0402940039616386,501,0.00994809224764383,0.009948091601533624,-0.24056659638768468,0.9639331096555968
39,39,7.571248175447986e-11,225,1.0909204938515084e-05,9.166517107026015,0.3777062767483489,-0.24971288617309656
40,40,1.0565592531041876,501,2.2907710370027363,1.0000000000000002e-06,0.6482014306947169,0.989637284432671
41,41,1.0565592531041876,501,2.290771059011753,1.0000000000000002e-06,0.9228128007000777,0.9921655155875267
42,42,2.1781033576802557e-11,454,1.1021360824562593e-05,9.073315956326304,0.7020361620688209,-0.3603545466295561
43,43,9.86979303990493e-11,375,9.037604297919842,1.1064811006502982e-05,0.369914056027054,-0.1697376517617942
44,44,1.0565592531041876,501,1e-06,2.2907710269966732,-0.8882053666057081,-0.5987314831482877
45,45,1.0200999898994605e-08,501,99.99999999993642,1e-06,0.6094657855673363,-0.59901485852221
46,46,1.0503899851504792e-08,501,2.4875791158542754e-06,40.19974428298182,0.13268623257044987,-0.793115519379804
47,47,1.0550341858062777e-08,501,36.83430263933967,2.714860672991045e-06,0.40244683745985765,-0.5204707585609345
48,48,1.0565592531041876,501,1e-06,2.2907710315093084,-0.9884314677504521,-0.11108009275288372
49,49,1.1221399898859067e-08,501,16.703357097377733,5.986820598085061e-06,0.10492864347938928,-0.6622010684723019
50,50,1.3850029015970238e-10,501,1.1096972291367632e-05,9.011507001813968,0.4879458904894654,-0.35405108697948967
51,51,1.0402940039616384,501,0.009948092096407159,0.009948091753234687,-0.5279572948375476,0.9009408396626856
52,52,1.1005954782916714e-08,501,20.36506577652692,4.910368286498688e-06,0.4259958932856003,-0.13865498020375036
53,53,1.0402940039616386,501,0.009948092311885181,0.009948091569246554,-0.17362242659533128,0.6444686203307832
54,54,1.0268475917204074e-08,501,74.99190563927213,1.3334771819428857e-06,0.9486703617285654,-0.23526001386551088
55,55,2.3277293673496024e-10,501,1.0819882978352143e-05,9.2421871248354,0.41966831065190874,-0.5546033661662698
56,56,1.0636615240197352e-08,501,31.908386113160972,3.133972350220208e-06,0.9957808232811943,-0.41555149789272405
57,57,3.6320136998425963e-09,501,1.1531333992677258e-05,8.671958124634148,0.6785106845108162,-0.5259946443522476
58,58,1.0201202741133212e-08,501,1.001000818928117e-06,99.90001557367701,0.4661787966421038,-0.8585939424315479
59,59,5.898921653785322e-10,501,1.0693220472683678e-05,9.351677882539123,0.6733511801930933,-0.6646267133292452
60,60,1.1237130015298557e-08,501,16.45645745447201,6.0766419106731855e-06,0.8927494454935124,-0.74235653184352
61,61,2.157717744760557e-09,501,9.655669306372198,1.0356649259370036e-05,0.990773078519518,-0.20475966200190607
